City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
403,jurbarkas,LT,63.54,55.08,22.77,Hotel Jurbarkas
405,bara,NG,74.16,10.37,10.73,
406,shemursha,RU,60.13,54.89,47.52,"Gostinitsa ""Shemursha"""
407,bentiu,SS,76.64,9.23,29.83,Mandela hôtel
409,matara,LK,86.67,5.95,80.54,Amaloh Boutique Resort
411,acarau,BR,77.49,-2.89,-40.12,castelo pizzaria
414,miracema do tocantins,BR,74.5,-9.56,-48.4,Miami Apart Hotel
415,fethiye,TR,71.6,36.62,29.12,Club & Hotel Letoonia
416,panguna,PG,80.37,-6.32,155.48,
420,pacasmayo,PE,63.14,-7.4,-79.57,Hotel Libertad
421,dongsheng,CN,84.07,39.82,109.98,Crowne Plaza Ordos
422,rio grande,BR,64.24,-32.03,-52.1,Swan Express Rio Grande
423,qingdao,CN,84.0,36.1,120.37,Holiday Inn Qingdao City Centre
424,meridian,US,75.99,43.61,-116.39,Courtyard by Marriott Boise West/Meridian
425,kheda,IN,87.8,22.75,72.68,Royal Tire
427,porto belo,BR,68.0,-27.16,-48.55,Costa Verde Beach Hotel
431,fiumicino,IT,73.0,41.77,12.23,Al Porticciolo Hotel
432,kalemie,CD,72.46,-5.95,29.19,Mahobilali
435,atchison,US,64.0,39.56,-95.12,"Quality Inn, Atchison"
436,redmond,US,69.01,47.67,-122.12,Seattle Marriott Redmond
437,abu dhabi,AE,88.0,24.47,54.37,Beach Rotana
438,estevan,CA,66.2,49.13,-102.98,"Motel 6 Estevan, SK"
441,turukhansk,RU,64.02,65.82,87.98,"ООО ""Туруханская пушнина"""
442,chunoyar,RU,85.89,57.45,97.32,
444,stepnyak,KZ,63.46,52.83,70.78,
446,champerico,GT,81.57,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
447,qui nhon,VN,89.76,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
448,jijiga,ET,64.96,9.35,42.8,RAMAAS HOTEL
449,goderich,CA,64.0,43.75,-81.72,Harmony Inn
451,igarka,RU,67.01,67.47,86.58,"Zapolyar'ye, Gostinitsa"
452,quatre cocos,MU,73.99,-20.21,57.76,Veranda Palmar Beach Hotel
454,krasnoselkup,RU,64.94,65.7,82.47,Krasnosel'kupnefteprodukt
455,iwaki,JP,71.01,37.05,140.88,Toyoko Inn Iwaki Ekimae
456,askarovo,RU,62.6,53.34,58.51,Gostinitsa Na Kirova S Saunoy
457,weligama,LK,86.02,5.97,80.42,Weligama Bay Resort
459,southwick,US,72.0,42.05,-72.77,Sodom Mountain Campground
460,goya,AR,71.53,-29.14,-59.26,Apart Costanera
462,padang,ID,81.7,-0.95,100.35,Mercure Padang
466,suluq,LY,69.26,31.67,20.25,ورشة الحضيري لاكترونات وخدمات النت
467,kalaswala,PK,84.2,32.2,74.65,Sarkari Havaily
471,crotone,IT,72.86,39.09,17.12,Helios Hotel
472,bani walid,LY,65.89,31.76,13.99,منزل الصابر أبوفانة
474,mount isa,AU,73.4,-20.73,139.5,ibis Styles Mt Isa Verona
477,hagenow,DE,61.0,53.43,11.18,Roseneck
478,palmer,US,71.6,42.16,-72.33,Wedgewood Motel
479,wilmington,US,79.0,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
487,ulaangom,MN,73.81,49.98,92.07,Achit Nuur Hotel & Restaurant
490,morristown,US,68.0,36.21,-83.29,Days Inn by Wyndham Morristown
491,rutland,US,73.4,43.62,-73.02,Comfort Inn Trolley Square
492,abnub,EG,77.0,27.27,31.15,Romany Adly Gad
493,pietrasanta,IT,73.0,43.95,10.22,Hotel Central Park
494,port-cartier,CA,61.0,50.03,-66.87,Le Q'Artier
495,aloja,LV,68.0,57.77,24.88,Mieriņš
496,ubinskoye,RU,68.31,55.31,79.68,Gostinitsa Siberia
497,caravelas,BR,67.1,-17.71,-39.25,Pousada dos Navegantes
498,dudinka,RU,66.2,69.41,86.18,Hotel Viktoria
501,kishapu,TZ,68.02,-3.62,33.87,kaji hotel
503,russell,US,71.6,32.35,-85.2,Macs
504,lumberton,US,71.6,34.62,-79.01,"Country Inn & Suites by Radisson, Lumberton, NC"
505,mastung,PK,89.65,29.8,66.84,Syed House
507,dzhebariki-khaya,RU,82.53,62.22,135.8,
508,grevesmuhlen,DE,62.01,53.87,11.18,Ringhotel am See
509,faya,SA,69.8,18.39,42.45,مقبرة ال مجمل
510,atambua,ID,81.14,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
511,dalby,AU,64.99,-27.18,151.27,Kobbers Motor Inn Dalby
512,mlimba,TZ,71.56,-8.8,35.82,Mlimba Centre
514,lata,PT,64.99,40.16,-8.33,Casa Maquia
515,slave lake,CA,62.6,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
516,chkalovskoye,RU,62.6,44.84,133.04,
517,camacha,PT,68.0,33.08,-16.33,Hotel Porto Santo & Spa
518,ginda,IN,82.4,30.69,78.49,Bherav Hotel Manpur
520,mackenzie,CA,60.8,55.3,-123.17,Hilton Shop
521,omboue,GA,71.11,-1.57,9.26,Hotel Olako
522,ugoofaaru,MV,83.17,5.67,73.0,Ungoofaaru Inn
523,garden city,US,66.2,42.33,-83.33,Quality Inn & Suites Banquet Center
524,nehe,CN,60.89,48.48,124.83,Vladimir Homestay
525,dwarka,IN,87.75,22.24,68.97,Hotel Narayan Avezika Comfort
526,brownsville,US,80.01,25.9,-97.5,Hotel Alameda Express
529,tshikapa,CD,65.61,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
530,palembang,ID,87.24,-2.92,104.75,Aston Palembang Hotel & Conference Center
531,balkhash,KZ,75.2,46.84,74.98,Family
532,benjamin hill,MX,82.99,30.17,-111.1,Luis Guillermo García Medina
533,cayenne,GF,75.2,4.93,-52.33,Hôtel Le Dronmi
534,hopkinsville,US,69.8,36.87,-87.49,Rodeway Inn
536,rameswaram,IN,85.66,9.28,79.3,Daiwik Hotels Rameswaram
537,hushitai,CN,71.6,41.93,123.51,Home Inn Plus Shenyang Shihutai University Town
538,khovu-aksy,RU,71.49,51.13,93.6,
539,timra,SE,69.01,62.49,17.33,Wifstavarfs Herrgård
540,namtsy,RU,78.8,62.72,129.67,"""Эңсиэли Киин"""
543,baghdad,IQ,87.8,33.34,44.4,Baghdad Hotel
544,babushkin,RU,63.48,51.71,105.86,Гостиница Байкальская
545,kaniv,UA,64.02,49.75,31.46,Knyazha Hora
547,saint-francois,FR,66.99,46.42,3.91,Manoir Du Bonheur
548,reading,GB,63.0,51.46,-0.97,The Roseate Reading
549,sabaudia,IT,73.0,41.3,13.03,Oasi di Kufra
550,sokolka,PL,69.01,53.41,23.5,Restauracja i Pokoje Gościnne Verde
552,port hedland,AU,84.2,-20.32,118.57,The Esplanade Hotel
553,mitsamiouli,KM,79.03,-11.38,43.28,Foyer ADM
554,araouane,ML,85.33,18.9,-3.53,
558,vila,PT,60.01,42.03,-8.16,Hotel Castrum Villae
560,korla,CN,88.66,41.76,86.15,Gulisitan Hotel
561,salalah,OM,84.2,17.02,54.09,HAMDAN PLAZA HOTEL
562,huarmey,PE,60.98,-10.07,-78.15,Hotel Miramar
563,wewak,PG,85.77,-3.55,143.63,In Wewak Boutique Hotel
564,florida,US,77.0,28.75,-82.5,Deer Park Community
565,senador pompeu,BR,72.7,-5.59,-39.37,Hotel Central
566,winnemucca,US,78.8,40.97,-117.74,Winners Inn Casino
567,malakal,SS,77.79,9.53,31.66,Nile Palace Hotel
568,bud,US,66.99,39.45,-86.18,Madsion Scouts Camp
569,kununurra,AU,84.2,-15.77,128.73,Hotel Kununurra
571,ayorou,NE,87.71,14.73,0.92,Hotel Amenokal
572,bereda,ES,62.01,43.27,-7.54,Pazo de Verdes
573,boyabat,TR,71.6,41.47,34.77,Kolaz Palas Otel
575,ranong,TH,89.6,9.97,98.63,Tinidee Hotel@Ranong
